id,theta mean,theta var,alpha mean,alpha var,beta mean,beta var
Decenzo,0.44,0.01,7.47,5.68,1.77,0.39
Eaton,0.6,0.02,6.8,6.19,2.09,0.68
Foy,0.51,0.02,7.66,6.95,1.63,0.33
Gustavo,0.4,0.01,8.28,7.25,2.32,0.6
Hoban,0.41,0.01,8.83,8.03,1.58,0.26
Hoefler,0.44,0.01,6.99,5.36,2.25,0.63
Jordan,0.41,0.01,8.35,6.94,1.58,0.28
Majerus,0.39,0.02,3.13,1.85,2.77,1.71
Midler,0.36,0.01,6.64,5.5,1.86,0.6
Mota,0.29,0.01,5.78,4.88,1.87,0.7
Oliveira,0.44,0.02,7.06,6.7,2.1,0.68
O’neill,0.29,0.01,5.97,6.37,1.4,0.47
Papa,0.45,0.01,6.71,5.79,2.13,0.58
Ribeiro C,0.28,0.01,6.1,5.58,2.05,0.96
Santiago,0.15,0.01,2.9,3.48,3.43,3.33
Shirai,0.41,0.01,8.37,7.31,1.22,0.17
